city;area;population
Königs Wusterhausen, Stadt;95.84;33975
Meppen, Stadt;188.34;33963
Leer (Ostfriesland), Stadt;70.29;33851
Wernigerode, Stadt;170.17;33710
Limburg a.d. Lahn, Kreisstadt;45.15;33619
Merseburg, Stadt;53.75;33520
Altenburg, Stadt;45.6;33343
Uelzen, Stadt;135.85;33338
Steinfurt, Stadt;111.67;33327
Radebeul, Stadt;26.06;33279
Mühlhausen/Thüringen, Stadt;86.35;33235
Balingen, Stadt;90.34;33213
Tuttlingen, Stadt;90.49;33177
Barsinghausen, Stadt;102.67;33090
Cloppenburg, Stadt;70.63;33084
Geldern, Stadt;96.96;33009
Winsen (Luhe), Stadt;109.58;32968
Goch, Stadt;115.43;32894
Viernheim, Stadt;48.4;32851
Mörfelden-Walldorf, Stadt;44.16;32822
Naumburg (Saale), Stadt;129.89;32816
Dietzenbach, Kreisstadt;21.67;32477
Crailsheim, Stadt;109.08;32417
Seelze, Stadt;54.04;32206
Korschenbroich, Stadt;55.26;32193
Jülich, Stadt;90.39;32044
Rheinfelden (Baden), Stadt;62.84;31926
Schönebeck (Elbe), Stadt;85.83;31870
Georgsmarienhütte, Stadt;55.44;31765
Riesa, Stadt;58.83;31760
Kornwestheim, Stadt;14.65;31732
Wedel, Stadt;33.82;31725
Deggendorf, GKSt;77.2;31699
Bad Vilbel, Stadt;25.68;31649
Lampertheim, Stadt;72.28;31358
Ahrensburg, Stadt;35.3;31292
Biberach an der Riß, Stadt;72.16;31157
Gevelsberg, Stadt;26.29;31080
Schwedt/Oder, Stadt;203.71;31042
Itzehoe, Stadt;28.03;30956
Fürstenwalde/Spree, Stadt;70.53;30885
Kreuztal, Stadt;71.07;30827
Vechta, Stadt;87.76;30770
Rheinberg, Stadt;75.24;30684
Bad Nauheim, Stadt;32.54;30668
Forchheim, GKSt;44.43;30621
Nienburg (Weser), Stadt;64.45;30570
Delbrück, Stadt;157.28;30542
Oer-Erkenschwick, Stadt;38.67;30503
Werl, Stadt;76.35;30455
Meschede, Kreis- und  Hochschulstadt;218.5;30358
Neuruppin, Stadt;303.34;30162
Herrenberg, Stadt;65.71;30118
Radolfzell am Bodensee, Stadt;58.57;30109
Bramsche, Stadt;183.34;30098
Osterholz-Scharmbeck, Stadt;146.91;30052
Emmerich am Rhein, Stadt;80.4;30038
Ennepetal, Stadt der Kluterthöhle;57.43;29931
Haan, Stadt;24.19;29848
Höxter, Stadt;158.16;29812
Merzig, Kreisstadt;108.81;29777
Achim, Stadt;68.01;29680
Zeitz, Stadt;87.16;29639
Werne, Stadt;76.08;29578
Lohmar, Stadt;65.62;29550
Tönisvorst, Stadt;44.33;29322
Geesthacht, Stadt;33.19;29098
Burgdorf, Stadt;112.35;29094
Andernach, Stadt;53.24;29071
Oelde, Stadt;102.77;28983
Weil am Rhein, Stadt;19.47;28935
Waltrop, Stadt;47;28926
Northeim, Stadt;145.67;28843
Grimma, Stadt;217.69;28819
Bad Hersfeld, Kreisstadt;73.83;28772
Friedberg, St;81.27;28731
Güstrow, Stadt;70.86;28586
Rietberg, Stadt;110.31;28583
Bühl, Stadt;73.2;28572
Taunusstein, Stadt;67.03;28535
Gaggenau, Stadt;65.05;28530
Idar-Oberstein, Stadt;91.54;28459
Springe, Stadt;159.81;28389
Neuburg a.d.Donau, GKSt;81.3;28274
Sangerhausen, Stadt;207.63;28189
Bretten, Stadt;71.11;28177
Sundern (Sauerland), Stadt;193.27;28165
Schwelm, Stadt;20.5;28139
Aschersleben, Stadt;156.2;28131
Vaihingen an der Enz, Stadt;73.42;28022
Kelkheim (Taunus), Stadt;30.65;27982
Landsberg am Lech, GKSt;57.9;27841
Schwandorf, GKSt;123.78;27802
Wegberg, Stadt;84.34;27745
Wetter (Ruhr), Stadt;31.47;27725
Kevelaer, Stadt;100.65;27565
Rösrath, Stadt;38.8;27561
Friedberg (Hessen), Kreisstadt;50.17;27537
Rendsburg, Stadt;23.73;27446
Leichlingen (Rheinland), Stadt;37.26;27437
Baunatal, Stadt;38.27;27417
Eisenhüttenstadt, Stadt;63.41;27410
Staßfurt, Stadt;146.68;27358
Winnenden, Stadt;28.05;27287
Mühlheim am Main, Stadt;20.67;27206
Quedlinburg, Stadt;141.85;27179
Königsbrunn, St;18.4;27177
Meißen, Stadt;30.9;27098
Köthen (Anhalt), Stadt;78.43;27079
Neukirchen-Vluyn, Stadt;43.5;26924
Bad Neuenahr-Ahrweiler, Stadt;63.4;26919
Overath, Stadt;68.88;26809
Mechernich, Stadt;136.46;26776
