"log10.xvals" "log10.ccdf"
"133" 1.12385164096709 -0.718142792325377
"134" 1.12710479836481 -0.730017669716964
"135" 1.13033376849501 -0.730127237052882
"136" 1.13353890837022 -0.739742097212277
"137" 1.13672056715641 -0.739928861086905
"138" 1.13987908640124 -0.741188499924508
"139" 1.1430148002541 -0.741188499924508
"140" 1.14612803567824 -0.741450864448401
"141" 1.14921911265538 -0.741613360047147
"142" 1.15228834438306 -0.741675874547104
"143" 1.15533603746506 -0.790748377368982
"144" 1.15836249209525 -0.790748377368982
"145" 1.16136800223497 -0.793008176323378
"146" 1.16435285578444 -0.793430559630261
"147" 1.16731733474818 -0.796271174071075
"148" 1.17026171539496 -0.796725130583986
"149" 1.17318626841227 -0.79723639949027
"150" 1.17609125905568 -0.797492259828056
"151" 1.17897694729317 -0.797606023936605
