"x.values" "ccdf"
"111" 11.1 0.309676801761377
"112" 11.2 0.309640904141389
"113" 11.3 0.309545177154755
"114" 11.4 0.284739921743188
"115" 11.5 0.284680092376542
"116" 11.6 0.28454846776992
"117" 11.7 0.284201457443372
"118" 11.8 0.284105730456737
"119" 11.9 0.281676658170897
"120" 12 0.281592897057592
"121" 12.1 0.281497170070958
"122" 12.2 0.281401443084323
"123" 12.3 0.281162125617738
"124" 12.4 0.269399672135071
"125" 12.5 0.26924411578179
"126" 12.6 0.269148388795156
"127" 12.7 0.268011630828876
"128" 12.8 0.267963767335559
"129" 12.9 0.267353507795766
"130" 13 0.267353507795766
"131" 13.1 0.267018463342547
"132" 13.2 0.266898804609254
"133" 13.3 0.266898804609254
"134" 13.4 0.257900467865647
"135" 13.5 0.257792775005684
"136" 13.6 0.257589355159086
"137" 13.7 0.257421832932477
"138" 13.8 0.257146617845904
"139" 13.9 0.257146617845904
"140" 14 0.256955163872635
"141" 14.1 0.256895334505989
"142" 14.2 0.256859436886001
"143" 14.3 0.225437053523351
"144" 14.4 0.225437053523351
"145" 14.5 0.225365258283376
"146" 14.6 0.225030213830156
"147" 14.7 0.224982350336839
"148" 14.8 0.224707135250266
"149" 14.9 0.224384056670376
"150" 15 0.224168670950449
"151" 15.1 0.224072943963815
"152" 15.2 0.214356654820452
"153" 15.3 0.214356654820452
"154" 15.4 0.214296825453806
"155" 15.5 0.214236996087159
"156" 15.6 0.214213064340501
"157" 15.7 0.213889985760611
"158" 15.8 0.213866054013952
"159" 15.9 0.21293271589427
"160" 16 0.212896818274282
"161" 16.1 0.212777159540989
"162" 16.2 0.204939512510321
"163" 16.3 0.204819853777028
"164" 16.4 0.204807887903699
"165" 16.5 0.204748058537052
"166" 16.6 0.204700195043735
"167" 16.7 0.204101901377272
"168" 16.8 0.20381472041737
"169" 16.9 0.203790788670711
"170" 17 0.203766856924053
"171" 17.1 0.203742925177394
"172" 17.2 0.193272786014287
"173" 17.3 0.19322492252097
