log10.xvals,log10.ccdf,
218,1.3384564936,-3.0526150277
219,1.3404441148,-3.0526150277
220,1.3424226808,-3.0526150277
221,1.3443922737,-3.0526150277
222,1.3463529745,-3.0526150277
223,1.348304863,-3.0526150277
224,1.3502480183,-3.0526150277
225,1.3521825181,-3.0526150277
226,1.3541084391,-3.0638960381
227,1.3560258572,-3.0638960381
228,1.357934847,-3.0638960381
229,1.3598354823,-3.0638960381
230,1.361727836,-3.0638960381
231,1.3636119799,-3.0638960381
232,1.3654879849,-3.0638960381
233,1.367355921,-3.0638960381
234,1.3692158574,-3.0638960381
235,1.3710678623,-3.0638960381
236,1.372912003,-3.0638960381
237,1.374748346,-3.0638960381
238,1.3765769571,-3.0638960381
239,1.3783979009,-3.0638960381
240,1.3802112417,-3.0638960381
241,1.3820170426,-3.0638960381
242,1.383815366,-3.0638960381
243,1.3856062736,-3.0638960381
244,1.3873898263,-3.0638960381
245,1.3891660844,-3.1122007177
246,1.3909351071,-3.1122007177
247,1.3926969533,-3.1122007177
248,1.3944516808,-3.1122007177
249,1.3961993471,-3.1122007177
250,1.3979400087,-3.1122007177
251,1.3996737215,-3.1122007177
252,1.4014005408,-3.1122007177
253,1.4031205212,-3.1122007177
254,1.4048337166,-3.1122007177
255,1.4065401804,-3.1122007177
256,1.4082399653,-3.1122007177
257,1.4099331233,-3.1122007177
258,1.411619706,-3.1122007177
259,1.4132997641,-3.1122007177
260,1.414973348,-3.1122007177
261,1.4166405073,-3.1122007177
262,1.4183012913,-3.1122007177
263,1.4199557485,-3.1122007177
264,1.4216039269,-3.1122007177
265,1.4232458739,-3.1523179409
266,1.4248816366,-3.1523179409
267,1.4265112614,-3.1523179409
268,1.428134794,-3.1523179409
269,1.42975228,-3.1523179409
270,1.4313637642,-3.1523179409
271,1.4329692909,-3.1523179409
272,1.434568904,-3.1523179409
273,1.436162647,-3.1523179409
274,1.4377505628,-3.1523179409
275,1.4393326938,-3.1812816368
276,1.4409090821,-3.1812816368
277,1.4424797691,-3.1812816368
278,1.4440447959,-3.1812816368
279,1.4456042033,-3.1812816368
280,1.4471580313,-3.1812816368
281,1.4487063199,-3.1812816368
282,1.4502491083,-3.1812816368
283,1.4517864355,-3.1812816368
284,1.45331834,-3.1812816368
285,1.45484486,-3.1812816368
286,1.4563660331,-3.1812816368
287,1.4578818967,-3.1812816368
288,1.4593924878,-3.1812816368
289,1.4608978428,-3.1812816368
290,1.4623979979,-3.1812816368
291,1.463892989,-3.1812816368
292,1.4653828514,-3.1812816368
293,1.4668676204,-3.1812816368
294,1.4683473304,-3.4675883757
295,1.469822016,-3.4675883757
296,1.4712917111,-3.4675883757
297,1.4727564493,-3.4675883757
298,1.4742162641,-3.4675883757
299,1.4756711883,-3.4675883757
300,1.4771212547,-3.4675883757
301,1.4785664956,-3.4675883757
302,1.480006943,-3.4675883757
303,1.4814426285,-3.4675883757
304,1.4828735836,-3.6022869496
305,1.4842998393,-3.6022869496
306,1.4857214265,-3.6022869496
307,1.4871383755,-3.6022869496
308,1.4885507165,-3.6022869496
309,1.4899584794,-3.6022869496
310,1.4913616938,-3.6022869496
311,1.492760389,-3.6022869496
312,1.494154594,-3.6022869496
313,1.4955443375,-3.6022869496
314,1.4969296481,-3.6022869496
315,1.4983105538,-3.6022869496
316,1.4996870826,-3.6022869496
317,1.5010592622,-3.6022869496
318,1.50242712,-3.6022869496
319,1.5037906831,-3.6022869496
320,1.5051499783,-3.6022869496
321,1.5065050324,-3.6022869496
322,1.5078558717,-3.6022869496
323,1.5092025223,-3.6022869496
324,1.5105450102,-3.6022869496
325,1.511883361,-3.6022869496
326,1.5132176001,-3.6022869496
327,1.5145477527,-3.6022869496
328,1.5158738437,-3.6022869496
329,1.5171958979,-3.6022869496
330,1.5185139399,-3.6022869496
331,1.5198279938,-3.6022869496
332,1.5211380837,-3.6022869496
333,1.5224442335,-3.6022869496
334,1.5237464668,-3.6022869496
335,1.525044807,-3.6022869496
336,1.5263392774,-3.6022869496
337,1.5276299009,-3.6022869496
338,1.5289167003,-3.6022869496
339,1.5301996982,-3.7405896478
340,1.531478917,-3.7405896478
341,1.532754379,-3.7405896478
342,1.5340261061,-3.7405896478
343,1.53529412,-3.8655283844
344,1.5365584426,-3.8655283844
345,1.5378190951,-3.8655283844
346,1.5390760988,-3.8655283844
347,1.5403294748,-3.8655283844
348,1.5415792439,-3.8655283844
349,1.542825427,-3.8655283844
350,1.5440680444,-3.8655283844
351,1.5453071165,-3.8655283844
352,1.5465426635,-3.8655283844
353,1.5477747054,-3.8655283844
354,1.549003262,-3.8655283844
355,1.5502283531,-3.8655283844
356,1.551449998,-3.8655283844
357,1.5526682161,-3.8655283844
